Date,Open,High,Low,Close,Adj Close,Volume
2015-07-22,19.650000,19.650000,19.170000,19.410000,18.851749,8911800
2015-07-23,19.450001,19.940001,19.410000,19.650000,19.084845,4247900
2015-07-24,19.790001,19.809999,19.340000,19.420000,18.861464,4721100
2015-07-27,19.250000,19.530001,19.090000,19.309999,18.754622,4810500
2015-07-28,19.360001,19.860001,19.160000,19.730000,19.162542,4957700
2015-07-29,19.690001,20.129999,19.610001,19.969999,19.395639,5817000
2015-07-30,19.920000,20.219999,19.920000,20.020000,19.444206,4754500
2015-07-31,20.100000,20.110001,19.830000,19.950001,19.376217,5458500
2015-08-03,20.110001,20.309999,19.850000,20.290001,19.706438,9928300
2015-08-04,20.219999,20.430000,20.139999,20.370001,19.784140,6502500
2015-08-05,20.870001,20.889999,20.540001,20.580000,19.988096,5865700
2015-08-06,20.530001,20.680000,20.110001,20.450001,19.861835,16391900
2015-08-07,22.459999,23.370001,21.879999,22.980000,22.319077,35131200
2015-08-10,22.820000,23.950001,22.680000,23.780001,23.096064,16557600
2015-08-11,23.430000,23.889999,23.430000,23.660000,22.979513,10875200
2015-08-12,23.280001,23.889999,23.280001,23.719999,23.037786,9601200
2015-08-13,23.750000,23.799999,23.459999,23.520000,22.843538,6922100
2015-08-14,23.500000,23.680000,23.360001,23.540001,22.862965,5366300
2015-08-17,23.500000,23.500000,23.100000,23.389999,22.717283,6847000
2015-08-18,23.219999,23.379999,22.900000,23.080000,22.510509,7177100
2015-08-19,23.049999,23.309999,22.740000,22.990000,22.422728,6231200
2015-08-20,22.730000,22.840000,22.049999,22.160000,21.613211,10673300
2015-08-21,22.000000,22.370001,21.450001,21.469999,20.940235,9566600
2015-08-24,20.270000,21.830000,20.000000,20.709999,20.198988,17057100
2015-08-25,21.620001,21.700001,20.280001,20.280001,19.779598,15567100
2015-08-26,20.940001,21.830000,20.780001,21.809999,21.271839,15374400
2015-08-27,22.040001,22.639999,21.910000,22.629999,22.071615,11594100
2015-08-28,22.629999,22.870001,22.469999,22.730000,22.169147,8023600
2015-08-31,22.620001,22.780001,22.389999,22.480000,21.925314,5483800
2015-09-01,21.830000,22.200001,21.400000,21.559999,21.028013,8835200
2015-09-02,22.150000,22.219999,21.780001,22.209999,21.661974,8601100
2015-09-03,22.540001,22.650000,22.230000,22.270000,21.720499,6563900
2015-09-04,21.889999,22.240000,21.740000,21.750000,21.213327,7199300
2015-09-08,22.280001,22.770000,22.190001,22.680000,22.120382,5961200
2015-09-09,22.750000,22.940001,22.180000,22.230000,21.681482,7234800
2015-09-10,22.100000,22.860001,22.000000,22.580000,22.022848,8926900
2015-09-11,22.330000,22.799999,22.240000,22.650000,22.091116,7539600
2015-09-14,22.760000,22.830000,22.570000,22.690001,22.130131,4811500
2015-09-15,22.700001,23.059999,22.629999,22.940001,22.373964,8199400
